# R@VT IREC 2026 (Up to date)
# 3169 data points written for 15 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.1 m/s):  "SkyAngle Classic II 36 [Cd 1.34 (8.4 oz) 56.6 in^3] With Shock Cord"
#   Recovery device deployment at high speed (23.7 m/s):  "SkyAngle Classic Cert-3 XL (MUTD)"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Latitude (° N),Longitude (° E),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Gravitational acceleration (m/s²),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.035851562499689,1696.6018222256669,1897.7698222256668,196.64629681558364,198.95622259961678,-16.395776325796344,16.428863330803573,37.19479156760412,-80.39182349126591,0,0.420835677308695,0.073849589221144,9.793390511671378,0.01,0.349737333
8.045851562499688,1698.567465626928,1899.735465626928,196.4824056179321,198.79265269284897,-16.382463560390452,16.415462347255993,37.19479156935131,-80.3918200870393,0,0.42018416944864,0.08945812385214,9.793384470369485,0.01,0.349983375
8.055851562499688,1700.5314707812222,1901.6994707812223,196.3186473564939,198.62921804718172,-16.369188789496448,16.402096331937955,37.19479157109938,-80.39181668398447,0,0.418600780658597,0.105416023480875,9.793378434108243,0.01,0.350234542
8.065851562499688,1702.49383901604,1903.6618390160402,196.15502165973243,198.46591836201895,-16.355951533448856,16.388764978449174,37.19479157284822,-80.39181328209928,0,0.416452740105065,0.123890480188694,9.793372402883557,0.01,0.350479417
8.075851562499688,1704.4545716550738,1905.622571655074,195.99152813006233,198.30275333776703,-16.342754285777417,16.375469727560056,37.19479157459772,-80.3918098813816,0,0.412494302266148,0.14370213605956,9.793366376691345,0.01,0.35072425
8.085851562499688,1706.4136700180647,1907.5816700180649,195.8281663966649,198.13972267582153,-16.32959222518032,16.362207722909027,37.19479157634786,-80.3918064818292,0,0.405975591329611,0.165753095155695,9.79336035552754,0.01,0.3509815
8.095851562499687,1708.3711354212535,1909.5391354212534,195.66493611489372,197.97682607854102,-16.316464367829973,16.348978356210417,37.19479157809856,-80.39180308343984,0,0.396331518898749,0.191686377219786,9.793354339388078,0.01,0.351230542
8.105851562499687,1710.3269691774572,1911.4949691774573,195.50183694517756,197.81406324924677,-16.30336778184514,16.335779868097454,37.19479157984982,-80.39179968621127,0,0.38009589343653,0.222595927529145,9.793348328268916,0.01,0.351486333
8.115851562499687,1712.2811725963652,1913.4491725963653,195.33886860845433,197.65143389219443,-16.290299481899552,16.322610460743288,37.194791581601656,-80.39179629014116,0,0.357664550128561,0.259120037349865,9.793342322166007,0.01,0.351745792
8.125851562499687,1714.2337469847964,1915.4017469847963,195.17603079155097,197.48893771258497,-16.277263456317378,16.309472450747172,37.1947915833541,-80.39179289522727,0,0.318014184655849,0.308368661144874,9.793336321075332,0.01,0.351992417
8.135851562499687,1716.1846936462832,1917.3526936462831,195.01332318013004,197.3265744165714,-16.264256308720118,16.29636379540154,37.19479158510721,-80.39178950146727,0,0.243170363465755,0.369739217156789,9.793330324992858,0.01,0.352237208
8.145851562499686,1718.1340138816429,1919.3020138816428,194.850745520057,197.16434371121903,-16.25127413847198,16.28328214376644,37.19479158686106,-80.39178610885891,0,0.110066263005439,0.428960178338064,9.793324333914581,0.01,0.353660958
8.155851562499686,1720.081708989046,1921.2497089890462,194.6882975459918,197.0022453045152,-16.23831796397004,16.270228053768527,37.194791588615715,-80.39178271739998,0,-0.091033452069046,0.432910770123128,9.793318347836502,0.01,0.353917958
8.165851562499686,1722.0277802641594,1923.1957802641596,194.52597902466334,196.84027890535515,-16.22538367593993,16.257199039126153,37.1947915903713,-80.39177932708816,0,-0.264555410841194,0.353608671790471,9.793312366754613,0.01,0.354171625
8.175851562499686,1723.9722290003965,1925.1402290003966,194.36378973527314,196.6784442235301,-16.21247281457495,16.24419596536826,37.19479159212793,-80.39177593792138,0,-0.362063946158149,0.25233161862889,9.793306390664931,0.01,0.354421917
